# vendor/ollama/bin/ollama serve
time=2026-08-18T23:22:44.943+03:00 level=INFO source=routes.go:1933 msg="server config" env="map[CUDA_VISIBLE_DEVICES: GGML_VK_VISIBLE_DEVICES: GPU_DEVICE_ORDINAL: HIP_VISIBLE_DEVICES: HSA_OVERRIDE_GFX_VERSION: HTTPS_PROXY:http://127.0.0.1:12334 HTTP_PROXY:http://127.0.0.1:12334 LLAMA_ARG_FIT: LLAMA_ARG_FIT_TARGET: NO_PROXY: OLLAMA_CONTEXT_LENGTH:0 OLLAMA_DEBUG:INFO OLLAMA_DEBUG_LOG_REQUESTS:false OLLAMA_EDITOR: OLLAMA_FLASH_ATTENTION:false OLLAMA_GO_TEMPLATE:true OLLAMA_GPU_OVERHEAD:0 OLLAMA_HOST:http://127.0.0.1:11434 OLLAMA_IGPU_ENABLE: OLLAMA_KEEP_ALIVE:5m0s OLLAMA_KV_CACHE_TYPE: OLLAMA_LLM_LIBRARY: OLLAMA_LOAD_TIMEOUT:5m0s OLLAMA_MAX_LOADED_MODELS:0 OLLAMA_MAX_QUEUE:512 OLLAMA_MAX_TRANSFER_STREAMS:4 OLLAMA_MODELS:/home/sergey/.ollama/models OLLAMA_NOHISTORY:false OLLAMA_NOPRUNE:false OLLAMA_NO_CLOUD:false OLLAMA_NUM_PARALLEL:1 OLLAMA_ORIGINS:[http://localhost https://localhost http://localhost:* https://localhost:* http://127.0.0.1 https://127.0.0.1 http://127.0.0.1:* https://127.0.0.1:* http://0.0.0.0 https://0.0.0.0 http://0.0.0.0:* https://0.0.0.0:* app://* file://* tauri://* vscode-webview://* vscode-file://*] OLLAMA_REMOTES:[ollama.com] OLLAMA_SCHED_SPREAD:false OLLAMA_VULKAN:true ROCR_VISIBLE_DEVICES: http_proxy:http://127.0.0.1:12334 https_proxy:http://127.0.0.1:12334 no_proxy:]"
time=2026-08-18T23:22:44.943+03:00 level=INFO source=routes.go:1935 msg="Ollama cloud disabled: false"
time=2026-08-18T23:22:44.945+03:00 level=INFO source=images.go:912 msg="total blobs: 0"
time=2026-08-18T23:22:44.945+03:00 level=INFO source=images.go:919 msg="total unused blobs removed: 0"
time=2026-08-18T23:22:44.946+03:00 level=INFO source=routes.go:1990 msg="Listening on 127.0.0.1:11434 (version 0.32.14)"
time=2026-08-18T23:22:44.946+03:00 level=INFO source=model_list_cache.go:112 msg="model list cache hydration complete" models=0 failures=0 elapsed=387.502µs
time=2026-08-18T23:22:44.946+03:00 level=INFO source=runner.go:60 msg="discovering available GPUs..."
time=2026-08-18T23:22:45.293+03:00 level=INFO source=model_recommendations.go:177 msg="model recommendations cache sleep scheduled" wait=3h18m35.932611361s consecutive_failures=0
time=2026-08-18T23:22:48.152+03:00 level=INFO source=types.go:32 msg="inference compute" id=0 filter_id=0 library=CUDA compute=7.5 name=CUDA0 description="NVIDIA GeForce GTX 1650 SUPER" libdirs=ollama,cuda_v13 driver=13.1 pci_id=0000:01:00.0 type=discrete total="4.0 GiB" available="3.2 GiB"
time=2026-08-18T23:22:48.152+03:00 level=INFO source=routes.go:2040 msg="vram-based default context" total_vram="4.0 GiB" default_num_ctx=4096
[GIN] 2026/08/18 - 23:22:48 | 404 |     523.701µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:26 | 404 |     288.101µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:26 | 404 |     327.301µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:26 | 404 |     318.701µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:27 | 404 |     455.001µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:27 | 404 |     500.602µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:27 | 404 |     359.102µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:27 | 404 |     423.102µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:28 | 404 |     295.101µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:28 | 404 |     309.201µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:28 | 404 |     317.701µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:28 | 404 |     358.701µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:29 | 404 |     300.001µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:29 | 404 |     343.802µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:29 | 404 |     463.402µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:29 | 404 |     526.502µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:30 | 404 |     342.801µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:30 | 404 |     541.302µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:30 | 404 |     417.602µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:30 | 404 |     731.902µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:31 | 404 |     348.501µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:31 | 404 |     359.401µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:31 | 404 |     381.601µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:31 | 404 |     297.801µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:32 | 404 |     357.502µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:32 | 404 |     281.101µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:32 | 404 |     311.701µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:32 | 404 |     663.602µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:33 | 404 |     338.101µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:33 | 404 |     262.201µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:33 | 404 |     288.001µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:33 | 404 |     297.702µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:34 | 404 |     490.402µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:34 | 404 |     274.401µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:34 | 404 |     487.701µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:34 | 404 |     348.602µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:35 | 404 |     441.002µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:35 | 404 |     506.902µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:35 | 404 |    1.726406ms |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:35 | 404 |     883.903µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:36 | 404 |    1.080404ms |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:36 | 404 |     378.102µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:36 | 404 |     312.401µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:36 | 404 |     480.701µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:37 | 404 |     573.602µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:37 | 404 |     328.501µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:37 | 404 |     349.501µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:38 | 404 |     317.601µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:38 | 404 |     918.404µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:38 | 404 |     292.601µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:38 | 404 |     342.901µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:39 | 404 |    1.309605ms |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:39 | 404 |     454.401µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:39 | 404 |     497.502µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:39 | 404 |     339.501µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:40 | 404 |     479.002µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:40 | 404 |     798.003µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:40 | 404 |     267.001µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:40 | 404 |     668.403µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:41 | 404 |     557.802µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:41 | 404 |     466.702µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:41 | 404 |     284.901µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:41 | 404 |     466.102µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:42 | 404 |     747.803µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:42 | 404 |     274.901µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:42 | 404 |     316.301µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:42 | 404 |     278.501µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:43 | 404 |     811.603µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:43 | 404 |     274.701µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:43 | 404 |     287.901µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:43 | 404 |     483.902µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:44 | 404 |     950.604µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:44 | 404 |     313.501µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:44 | 404 |     571.102µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:44 | 404 |     306.401µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:45 | 404 |     562.202µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:45 | 404 |     303.802µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:45 | 404 |     428.902µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:45 | 404 |     314.701µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:46 | 404 |     364.801µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:46 | 404 |     294.501µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:46 | 404 |     558.802µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:46 | 404 |     460.402µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:47 | 404 |     280.901µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:47 | 404 |     321.201µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:47 | 404 |     321.601µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:47 | 404 |     322.001µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:48 | 404 |     269.701µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:48 | 404 |     269.601µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:48 | 404 |     362.001µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:49 | 404 |     268.101µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:49 | 404 |     341.401µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:49 | 404 |     953.904µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:49 | 404 |     817.003µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:50 | 404 |     373.802µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:50 | 404 |     392.501µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:50 | 404 |     338.701µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:50 | 404 |    1.074504ms |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:51 | 404 |     603.403µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:51 | 404 |    1.070804ms |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:51 | 404 |     294.101µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:51 | 404 |     554.702µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:52 | 404 |     337.201µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:52 | 404 |     317.901µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:52 | 404 |     328.501µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:52 | 404 |     441.501µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:53 | 404 |     462.601µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:53 | 404 |     293.401µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:53 | 404 |     516.602µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:53 | 404 |     614.802µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:54 | 404 |     770.202µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:54 | 404 |     326.001µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:54 | 404 |     307.001µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:54 | 404 |     532.602µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:55 | 404 |     377.701µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:55 | 404 |     364.901µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:55 | 404 |     340.501µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:55 | 404 |     346.901µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:56 | 404 |     324.201µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:56 | 404 |     286.001µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:56 | 404 |     717.403µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:56 | 404 |     292.501µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:57 | 404 |     308.401µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:57 | 404 |     672.903µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:57 | 404 |     375.301µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:57 | 404 |     329.201µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:58 | 404 |     617.102µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:58 | 404 |     302.801µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:58 | 404 |     297.201µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:58 | 404 |     500.802µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:59 | 404 |     339.201µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:59 | 404 |     302.701µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:26:59 | 404 |     288.501µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:00 | 404 |     650.603µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:00 | 404 |     287.801µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:00 | 404 |     282.701µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:00 | 404 |     310.602µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:01 | 404 |     310.601µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:01 | 404 |     283.101µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:01 | 404 |     336.501µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:01 | 404 |     808.603µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:02 | 404 |     333.601µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:02 | 404 |     297.901µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:02 | 404 |     353.702µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:02 | 404 |    1.056603ms |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:03 | 404 |     863.903µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:03 | 404 |     474.502µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:03 | 404 |     319.701µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:03 | 404 |     412.101µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:04 | 404 |     306.601µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:04 | 404 |     357.801µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:04 | 404 |     530.102µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:04 | 404 |     304.901µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:05 | 404 |     744.503µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:05 | 404 |     571.002µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:05 | 404 |     356.701µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:05 | 404 |     541.502µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:06 | 404 |     451.101µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:06 | 404 |     322.601µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:06 | 404 |     333.301µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:06 | 404 |     329.501µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:07 | 404 |     409.101µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:07 | 404 |     358.602µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:07 | 404 |     519.502µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:07 | 404 |     365.302µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:08 | 404 |     320.501µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:08 | 404 |     364.301µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:08 | 404 |     316.001µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:08 | 404 |     314.501µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:09 | 404 |     266.101µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:09 | 404 |     293.801µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:09 | 404 |     596.002µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:09 | 404 |     279.701µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:10 | 404 |     266.601µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:10 | 404 |     268.901µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:10 | 404 |     260.701µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:10 | 404 |     363.701µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:11 | 404 |     499.802µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:11 | 404 |     384.101µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:11 | 404 |     336.901µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:12 | 404 |     376.301µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:12 | 404 |     392.001µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:12 | 404 |     331.101µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:12 | 404 |     311.401µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:13 | 404 |     312.701µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:13 | 404 |     337.302µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:13 | 404 |     432.102µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:13 | 404 |     309.102µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:14 | 404 |     569.702µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:14 | 404 |     428.502µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:14 | 404 |     368.802µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:14 | 404 |     345.502µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:15 | 404 |    1.141905ms |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:15 | 404 |     613.702µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:15 | 404 |     314.501µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:15 | 404 |     326.902µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:16 | 404 |    1.192304ms |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:16 | 404 |     298.201µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:16 | 404 |     319.301µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:16 | 404 |     496.002µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:17 | 404 |     473.802µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:17 | 404 |     528.602µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:17 | 404 |     273.501µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:17 | 404 |     395.002µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:18 | 404 |     878.304µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:18 | 404 |     879.604µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:18 | 404 |     313.902µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:18 | 404 |    1.017304ms |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:19 | 404 |     338.201µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:19 | 404 |     415.402µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:19 | 404 |     832.404µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:19 | 404 |     289.901µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:20 | 404 |     538.302µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:20 | 404 |     688.103µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:20 | 404 |     310.801µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:20 | 404 |     381.002µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:21 | 404 |     287.401µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:21 | 404 |     339.101µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:21 | 404 |     916.303µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:21 | 404 |     541.402µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:22 | 404 |     822.004µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:22 | 404 |     303.701µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:22 | 404 |     506.102µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:23 | 404 |     864.804µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:27:23 | 404 |     597.102µs |       127.0.0.1 | POST     "/v1/completions"
